client_id,Apple,Microsoft,TotalEnergies,LVMH,Airbus,BNP_Paribas,Tesla,Amazon,ETF_SP500,ETF_CAC40,ETF_Monde,ETF_Technologie,ETF_Energie_Verte,ETF_Obligations,ETF_Immobilier
CLT_00001,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
CLT_00002,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1
CLT_00003,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0
CLT_00004,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1
CLT_00005,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1
CLT_00006,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
CLT_00007,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1
CLT_00008,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
CLT_00009,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
CLT_00010,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0
CLT_00011,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1
CLT_00012,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0
CLT_00013,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0
CLT_00014,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0
CLT_00015,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1
CLT_00016,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
CLT_00017,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0
CLT_00018,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
CLT_00019,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0
CLT_00020,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1
CLT_00021,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1
CLT_00022,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0
CLT_00023,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0
CLT_00024,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0
CLT_00025,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
CLT_00026,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
CLT_00027,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
CLT_00028,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0
CLT_00029,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0
CLT_00030,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0
CLT_00031,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1
CLT_00032,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
CLT_00033,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1
CLT_00034,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CLT_00035,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1
CLT_00036,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0
CLT_00037,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
CLT_00038,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0
CLT_00039,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1
CLT_00040,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1
CLT_00041,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1
CLT_00042,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0
CLT_00043,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
CLT_00044,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1
CLT_00045,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0
CLT_00046,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0
CLT_00047,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
CLT_00048,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
CLT_00049,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1
CLT_00050,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
CLT_00051,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
CLT_00052,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1
CLT_00053,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0
CLT_00054,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1
CLT_00055,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1
CLT_00056,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
CLT_00057,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1
CLT_00058,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
CLT_00059,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0
CLT_00060,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0
CLT_00061,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0
CLT_00062,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1
CLT_00063,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
CLT_00064,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0
CLT_00065,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1
CLT_00066,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
CLT_00067,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1
CLT_00068,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CLT_00069,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0
CLT_00070,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1
CLT_00071,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1
CLT_00072,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
CLT_00073,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1
CLT_00074,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
CLT_00075,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1
CLT_00076,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
CLT_00077,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
CLT_00078,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
CLT_00079,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0
CLT_00080,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0
CLT_00081,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1
CLT_00082,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0
CLT_00083,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
CLT_00084,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
CLT_00085,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
CLT_00086,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0
CLT_00087,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1
CLT_00088,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0
CLT_00089,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1
CLT_00090,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0
CLT_00091,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
CLT_00092,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1
CLT_00093,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0
CLT_00094,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1
CLT_00095,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
CLT_00096,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
CLT_00097,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
CLT_00098,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1
CLT_00099,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1
CLT_00100,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0
CLT_00101,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0
CLT_00102,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1
CLT_00103,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0
CLT_00104,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0
CLT_00105,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0
CLT_00106,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
CLT_00107,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1
CLT_00108,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0
CLT_00109,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1
CLT_00110,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0
CLT_00111,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
CLT_00112,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1
CLT_00113,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1
CLT_00114,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0
CLT_00115,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
CLT_00116,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1
CLT_00117,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1
CLT_00118,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
CLT_00119,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1
CLT_00120,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1
CLT_00121,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
CLT_00122,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1
CLT_00123,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
CLT_00124,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
CLT_00125,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0
CLT_00126,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1
CLT_00127,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0
CLT_00128,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0
CLT_00129,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1
CLT_00130,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
CLT_00131,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
CLT_00132,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
CLT_00133,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
CLT_00134,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
CLT_00135,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0
CLT_00136,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
CLT_00137,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
CLT_00138,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0
CLT_00139,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
CLT_00140,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
CLT_00141,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0
CLT_00142,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CLT_00143,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1
CLT_00144,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1
CLT_00145,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0
CLT_00146,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0
CLT_00147,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0
CLT_00148,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1
CLT_00149,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
CLT_00150,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0
CLT_00151,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0
CLT_00152,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
CLT_00153,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1
CLT_00154,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
CLT_00155,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
CLT_00156,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0
CLT_00157,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
CLT_00158,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0
CLT_00159,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
CLT_00160,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0
CLT_00161,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0
CLT_00162,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0
CLT_00163,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1
CLT_00164,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
CLT_00165,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0
CLT_00166,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1
CLT_00167,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
CLT_00168,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1
CLT_00169,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1
CLT_00170,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1
CLT_00171,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0
CLT_00172,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
CLT_00173,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1
CLT_00174,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0
CLT_00175,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1
CLT_00176,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
CLT_00177,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0
CLT_00178,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0
CLT_00179,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1
CLT_00180,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
CLT_00181,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
CLT_00182,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1
CLT_00183,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
CLT_00184,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0
CLT_00185,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
CLT_00186,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1
CLT_00187,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0
CLT_00188,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
CLT_00189,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1
CLT_00190,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0
CLT_00191,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0
CLT_00192,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1
CLT_00193,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
CLT_00194,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1
CLT_00195,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1
CLT_00196,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0
